X1,X2,X3,X4,X5,X6,X7
NA,43,34,77,35,26,5
NA,0,0,NA,NA,NA,NA
22,1,6,6,14,6,0
NA,NA,12,28,30,9,46
14,6,1,9,1,5,4
8,72,28,11,22,50,NA
26,244,143,27,35,49,NA
24,34,11,22,34,14,NA
39,38,66,111,56,5,NA
50,15,19,44,9,2,NA
2,4,1,0,16,1,NA
NA,0,0,0,0,0,NA
0,1,1,2,2,0,NA
2,1,2,0,1,0,NA
2,5,5,6,3,4,NA
0,3,3,7,NA,NA,NA
2,21,10,13,9,8,NA
5,8,3,5,26,1,NA
22,9,13,NA,16,26,NA
6,10,12,5,10,13,NA
31,32,35,28,16,15,NA
4,NA,20,12,6,NA,NA
0,2,7,2,9,3,NA
0,1,2,1,1,1,NA
1,1,2,2,1,2,NA
21,17,58,18,0,11,0
9,10,8,10,9,14,4
NA,3,4,8,33,4,8
18,4,6,5,2,14,0
NA,16,6,23,65,47,9
1,3,3,11,0,1,NA
0,4,2,7,6,13,NA
12,14,15,3,33,24,NA
7,5,10,10,10,10,NA
0,1,0,1,0,2,NA
0,0,0,0,0,0,NA
10,20,27,24,13,20,NA
23,15,20,45,38,24,NA
0,0,0,0,0,0,NA
5,8,7,48,40,15,NA
0,2,0,1,0,0,NA
0,0,0,0,0,0,NA
0,0,0,0,0,0,NA
0,0,0,0,0,0,NA
1,0,NA,1,0,0,NA
NA,66,41,20,NA,NA,NA
57,30,19,14,4,0,NA
12,0,19,29,58,37,NA
18,17,12,8,55,78,NA
18,3,3,9,17,5,NA
NA,NA,10,8,13,1,NA
12,0,5,9,1,3,NA
12,6,4,5,11,6,NA
5,3,3,3,NA,NA,NA
25,20,61,44,10,11,NA
4,13,2,NA,5,1,NA
15,10,17,17,14,2,NA
11,2,5,7,6,10,NA
18,21,0,1,22,38,NA
NA,NA,1,0,0,1,NA
