X1,X2,X3,X4,X5,X6,X7
NA,2,4,1,0,0,0
NA,3,0,NA,NA,NA,NA
3,1,0,3,0,0,0
NA,NA,0,6,6,2,2
2,0,0,3,1,2,5
0,15,2,0,0,13,NA
0,1,6,3,9,13,NA
9,8,7,12,7,3,NA
3,6,0,2,3,1,NA
3,3,7,5,10,2,NA
3,1,3,2,0,7,NA
NA,3,0,1,1,6,NA
0,0,4,5,2,3,NA
0,1,3,0,0,0,NA
0,0,0,4,1,0,NA
0,2,1,2,NA,NA,NA
0,6,9,16,14,8,NA
4,0,5,1,0,2,NA
0,0,1,NA,2,6,NA
2,6,7,9,8,6,NA
4,3,5,1,1,1,NA
1,NA,0,0,1,2,NA
0,0,0,0,0,2,NA
0,0,5,0,5,7,NA
1,1,2,1,6,1,NA
9,8,1,5,1,11,0
9,6,8,8,22,16,1
NA,3,22,1,1,0,3
3,8,6,0,2,9,0
NA,0,0,1,18,7,8
0,0,1,8,11,3,NA
0,1,0,0,0,1,NA
4,8,10,1,11,12,NA
1,1,2,3,6,12,NA
5,3,7,1,9,2,NA
5,1,10,5,3,8,NA
0,0,3,1,0,2,NA
2,2,1,1,1,5,NA
0,0,0,1,0,0,NA
0,0,1,3,0,2,NA
0,0,0,0,0,0,NA
0,1,0,1,2,1,NA
0,0,0,1,0,0,NA
0,1,0,0,0,0,NA
0,0,NA,0,0,0,NA
NA,4,2,1,NA,NA,NA
2,6,2,4,4,0,NA
0,0,2,6,2,0,NA
2,1,0,0,0,0,NA
0,0,0,1,1,0,NA
NA,NA,1,3,0,0,NA
0,0,3,7,0,0,NA
7,0,1,4,10,0,NA
2,2,1,1,NA,NA,NA
3,2,0,0,0,0,NA
0,1,3,NA,4,1,NA
0,0,0,0,0,0,NA
8,9,11,6,6,2,NA
0,3,0,0,9,4,NA
NA,NA,0,1,0,0,NA
