X1,X2,X3,X4,X5,X6,X7
NA,15,45,41,35,40,11
NA,66,3,NA,NA,NA,NA
44,44,48,18,6,9,121
NA,NA,26,0,2,8,32
86,52,36,90,89,85,154
4,25,14,0,0,17,NA
24,10,16,4,20,8,NA
5,14,5,14,6,14,NA
9,28,25,69,38,26,NA
8,12,13,10,23,24,NA
98,52,59,127,91,58,NA
NA,62,90,202,123,75,NA
19,18,40,38,36,57,NA
158,161,64,61,53,38,NA
18,33,40,79,46,37,NA
11,30,24,33,NA,NA,NA
0,54,59,94,94,65,NA
44,15,39,40,34,45,NA
3,4,0,NA,4,5,NA
2,8,3,7,5,6,NA
26,56,67,24,21,54,NA
29,NA,73,29,10,14,NA
111,29,22,26,56,29,NA
51,12,132,129,134,122,NA
81,63,147,139,114,84,NA
9,4,5,10,0,11,0
24,22,13,17,96,41,8
NA,16,100,66,17,20,11
18,49,10,6,5,68,4
NA,1,0,2,13,5,24
0,5,1,1,2,9,NA
3,3,2,1,2,0,NA
57,76,97,1,123,125,NA
30,58,62,42,55,46,NA
37,23,46,56,108,83,NA
24,26,21,18,32,43,NA
12,19,34,18,24,30,NA
4,14,11,2,12,18,NA
4,3,3,2,10,5,NA
5,11,8,10,9,14,NA
8,10,1,4,11,12,NA
81,58,121,179,177,131,NA
8,9,5,4,2,1,NA
28,24,32,1,26,14,NA
1,0,NA,7,0,1,NA
NA,32,18,4,NA,NA,NA
4,11,20,14,7,3,NA
3,2,16,15,17,10,NA
9,11,2,8,10,7,NA
8,2,2,0,1,3,NA
NA,NA,60,84,20,2,NA
7,0,16,20,1,0,NA
63,22,2,8,12,3,NA
120,83,21,43,NA,NA,NA
10,7,26,44,18,29,NA
46,36,45,NA,27,18,NA
0,3,0,3,0,0,NA
1,11,1,12,10,19,NA
5,17,0,0,35,33,NA
NA,NA,50,77,70,18,NA
